appname,event,timestamp
系统 UI,32,1605078980941
系统 UI,32,1605078980970
系统 UI,32,1605078981001
万象息屏,32,1605078981245
Android 系统,32,1605079007584
手机管家,32,1605079007667
系统桌面,32,1605079007896
系统 UI,32,1605079007939
系统 UI,32,1605079007987
系统 UI,32,1605079008003
微信,32,1605079008486
微信,32,1605079008540
微信,32,1605079008565
系统桌面,32,1605079009542
系统桌面,32,1605079009604
系统桌面,32,1605079010151
设置,32,1605082261442
设置,32,1605082261459
设置,32,1605082262063
设置,32,1605082262077
应用预测,32,1605082262893
应用预测,32,1605082262919
应用预测,1,1605082263639
系统桌面,32,1605082264471
系统桌面,32,1605082264500
系统桌面,32,1605082265353
系统桌面,2,1605082265577
系统桌面,1,1605082266605
手机管家,32,1605082266638
手机管家,32,1605082266703
系统桌面,32,1605082269808
系统桌面,32,1605082269841
系统桌面,32,1605082270891
系统桌面,2,1605082271855
系统桌面,1,1605082272633
系统桌面,32,1605082274076
系统 UI,32,1605082394103
系统 UI,32,1605082394133
万象息屏,32,1605082394423
Android 系统,32,1605082891839
系统桌面,32,1605082891912
系统桌面,32,1605082892056
系统桌面,32,1605082892150
设置,32,1605082909262
设置,32,1605082909680
设置,32,1605082909722
设置,32,1605082910078
设置,32,1605082910105
应用预测,32,1605082910992
应用预测,32,1605082911030
应用预测,1,1605082912020
系统桌面,32,1605082914033
系统桌面,32,1605082914068
系统桌面,32,1605082914601
系统桌面,1,1605082915043
QQ,32,1605082915124
系统桌面,32,1605082915135
QQ,32,1605082915141
系统桌面,32,1605082915207
QQ,1,1605082917108
QQ,1,1605082928749
QQ,1,1605082931578
