event,appname,timestamp
32,系统 UI,2020-11-11 11:32:30
32,微信,2020-11-11 11:32:30
32,微信,2020-11-11 11:32:31
32,微信,2020-11-11 11:32:31
1,微信,2020-11-11 11:32:36
32,搜狗输入法小米版,2020-11-11 11:32:36
1,微信,2020-11-11 11:32:50
32,微信,2020-11-11 11:32:50
1,微信,2020-11-11 11:32:52
1,微信,2020-11-11 11:32:52
1,微信,2020-11-11 11:32:58
32,微信,2020-11-11 11:33:09
32,微信,2020-11-11 11:33:14
32,系统 UI,2020-11-11 11:35:23
32,系统 UI,2020-11-11 11:35:23
32,系统 UI,2020-11-11 11:35:23
32,系统 UI,2020-11-11 11:35:23
32,万象息屏,2020-11-11 11:35:24
32,Android 系统,2020-11-11 11:39:54
32,手机管家,2020-11-11 11:39:55
32,系统桌面,2020-11-11 11:39:55
32,系统 UI,2020-11-11 11:39:55
32,系统 UI,2020-11-11 11:39:55
32,系统 UI,2020-11-11 11:39:55
32,系统 UI,2020-11-11 11:39:55
32,微信,2020-11-11 11:39:55
32,微信,2020-11-11 11:39:55
32,微信,2020-11-11 11:39:57
1,微信,2020-11-11 11:40:03
32,搜狗输入法小米版,2020-11-11 11:40:03
32,系统 UI,2020-11-11 11:41:20
32,设置,2020-11-11 11:41:21
32,设置,2020-11-11 11:41:21
32,系统桌面,2020-11-11 11:41:23
32,系统桌面,2020-11-11 11:41:24
1,系统桌面,2020-11-11 11:41:25
32,设置,2020-11-11 11:41:25
32,系统桌面,2020-11-11 11:41:25
32,系统桌面,2020-11-11 11:41:25
32,设置,2020-11-11 11:41:25
1,设置,2020-11-11 11:41:28
32,设置,2020-11-11 11:41:28
32,设置,2020-11-11 11:41:29
1,设置,2020-11-11 11:41:29
32,设置,2020-11-11 11:41:29
32,设置,2020-11-11 11:41:32
32,设置,2020-11-11 11:41:32
32,系统 UI,2020-11-11 11:44:47
1,系统 UI,2020-11-11 11:44:50
32,系统桌面,2020-11-11 11:44:51
32,设置,2020-11-11 11:46:25
32,系统 UI,2020-11-11 11:48:27
32,系统 UI,2020-11-11 11:48:27
32,系统 UI,2020-11-11 11:48:27
32,系统 UI,2020-11-11 11:48:27
32,万象息屏,2020-11-11 11:48:27
32,Android 系统,2020-11-11 11:51:21
32,设置,2020-11-11 11:51:21
32,系统桌面,2020-11-11 11:51:21
32,系统桌面,2020-11-11 11:51:24
32,系统桌面,2020-11-11 11:51:24
32,系统 UI,2020-11-11 11:53:24
32,系统 UI,2020-11-11 11:53:24
32,系统 UI,2020-11-11 11:53:24
32,系统 UI,2020-11-11 11:53:24
32,万象息屏,2020-11-11 11:53:24
32,Android 系统,2020-11-11 11:57:03
32,系统桌面,2020-11-11 11:57:03
32,系统桌面,2020-11-11 11:57:04
32,系统桌面,2020-11-11 11:57:04
32,手机管家,2020-11-11 11:57:48
32,系统桌面,2020-11-11 11:57:48
1,手机管家,2020-11-11 11:57:49
32,系统桌面,2020-11-11 11:57:49
32,AppUsageStatistics,2020-11-11 11:57:50
32,系统桌面,2020-11-11 11:57:50
32,AppUsageStatistics,2020-11-11 11:57:50
32,系统桌面,2020-11-11 11:57:50
1,AppUsageStatistics,2020-11-11 11:57:52
32,AppUsageStatistics,2020-11-11 11:57:52
32,AppUsageStatistics,2020-11-11 11:57:53
1,AppUsageStatistics,2020-11-11 11:57:54
32,设置,2020-11-11 11:57:55
1,设置,2020-11-11 11:57:57
32,设置,2020-11-11 11:57:58
32,设置,2020-11-11 11:57:59
32,设置,2020-11-11 11:57:59
1,设置,2020-11-11 11:58:03
32,设置,2020-11-11 11:58:03
32,手机管家,2020-11-11 11:58:04
1,手机管家,2020-11-11 11:58:09
32,设置,2020-11-11 11:58:09
32,设置,2020-11-11 11:58:10
32,设置,2020-11-11 11:58:10
32,AppUsageStatistics,2020-11-11 11:58:10
32,AppUsageStatistics,2020-11-11 11:58:10
1,AppUsageStatistics,2020-11-11 11:58:13
32,AppUsageStatistics,2020-11-11 11:58:13
32,AppUsageStatistics,2020-11-11 11:58:13
1,AppUsageStatistics,2020-11-11 11:58:16
32,AppUsageStatistics,2020-11-11 11:58:17
32,AppUsageStatistics,2020-11-11 11:58:17
1,AppUsageStatistics,2020-11-11 11:58:18
32,AppUsageStatistics,2020-11-11 11:58:18
32,AppUsageStatistics,2020-11-11 11:58:19
1,AppUsageStatistics,2020-11-11 11:58:21
32,AppUsageStatistics,2020-11-11 11:58:21
32,AppUsageStatistics,2020-11-11 11:58:22
32,系统桌面,2020-11-11 11:58:31
32,系统桌面,2020-11-11 12:01:24
32,系统桌面,2020-11-11 12:01:24
32,系统桌面,2020-11-11 12:01:24
32,系统桌面,2020-11-11 12:01:24
32,系统桌面,2020-11-11 12:01:24
32,AppUsageStatistics,2020-11-11 12:01:25
32,系统桌面,2020-11-11 12:01:25
32,系统桌面,2020-11-11 12:01:25
